,,accuracy,topk,clean_CUDA_time,clean_CUDA_mem,clean_CPU_time,clean_CPU_mem,clean_GFLOPs,adv_CUDA_time,adv_CUDA_mem,adv_CPU_time,adv_CPU_mem,adv_GFLOPs,diff_outliers,diff_outliers_%,diff_GFLOPs,diff_GFLOPs_%,diff_CUDA_mem,diff_CUDA_mem_%,diff_CUDA_time,diff_CUDA_time_%
/sise/home/barasa/8_bit/experiments/April/inf_8_0.05_True/results.csv,std,0.0,0.0,0.407,12.524,13.115,0.0,0.0,0.322,15.099,14.242,0.0,0.0,152.922,2.173,0.0,0.0,15.0,0.016,0.533,0.009
/sise/home/barasa/8_bit/experiments/April/inf_8_0.1_True/results.csv,mean,0.0,0.0,60.903,1004.844,1205.024,0.0,0.851,63.83,1106.97,1259.324,0.0,0.851,1329.079,6.009,0.0,0.0,102.125,0.102,2.928,0.048
/sise/home/barasa/8_bit/experiments/April/inf_8_0.1_True/results.csv,std,0.0,0.0,0.393,17.761,21.308,0.0,0.0,0.409,19.611,15.178,0.0,0.0,173.033,1.53,0.0,0.0,22.82,0.024,0.558,0.009
/sise/home/barasa/8_bit/experiments/April/inf_8_0.5_True/results.csv,mean,0.0,0.0,60.894,995.83,1247.309,0.0,0.851,60.497,1007.332,1298.192,0.0,0.851,82.436,0.393,0.0,0.0,11.502,0.012,-0.397,-0.006
/sise/home/barasa/8_bit/experiments/April/inf_8_0.5_True/results.csv,std,0.0,0.0,0.396,2.18,13.3,0.0,0.0,0.189,6.662,15.64,0.0,0.0,62.558,0.318,0.0,0.0,6.973,0.007,0.448,0.007
/sise/home/barasa/8_bit/experiments/April/inf_8_1_True/results.csv,mean,0.0,0.0,37.356,978.527,1307.859,0.0,0.851,36.879,976.325,1358.907,0.0,0.851,-99.842,-0.399,0.0,0.0,-2.202,-0.002,-0.477,-0.013
/sise/home/barasa/8_bit/experiments/April/inf_8_1_True/results.csv,std,0.0,0.0,12.817,2.38,21.285,0.0,0.0,12.632,1.003,23.74,0.0,0.0,46.897,0.136,0.0,0.0,2.381,0.002,0.326,0.007
/sise/home/barasa/8_bit/experiments/April/inf_10_0.001_True/results.csv,mean,0.04,0.059,30.353,995.597,1355.054,0.0,0.851,31.673,1067.662,1416.803,0.0,0.851,1753.861,7.963,0.0,0.0,72.066,0.073,1.319,0.044
/sise/home/barasa/8_bit/experiments/April/inf_10_0.001_True/results.csv,std,0.196,0.238,0.204,14.945,12.722,0.0,0.0,0.229,10.828,18.352,0.0,0.0,258.094,1.927,0.0,0.0,16.308,0.017,0.32,0.011
/sise/home/barasa/8_bit/experiments/April/inf_10_0.005_True/results.csv,mean,0.0,0.02,30.394,991.446,1402.803,0.0,0.851,32.23,1074.127,1467.572,0.0,0.851,2319.327,10.535,0.0,0.0,82.682,0.084,1.837,0.06
/sise/home/barasa/8_bit/experiments/April/inf_10_0.005_True/results.csv,std,0.0,0.14,0.2,10.938,17.255,0.0,0.0,0.181,8.492,18.251,0.0,0.0,203.062,2.026,0.0,0.0,13.327,0.014,0.292,0.01
/sise/home/barasa/8_bit/experiments/April/inf_10_0.01_True/results.csv,mean,0.0,0.0,30.413,1001.46,1438.392,0.0,0.851,32.25,1109.288,1507.446,0.0,0.851,2404.327,11.007,0.0,0.0,107.828,0.108,1.837,0.06
/sise/home/barasa/8_bit/experiments/April/inf_10_0.01_True/results.csv,std,0.0,0.0,0.231,14.608,12.968,0.0,0.0,0.167,14.735,17.662,0.0,0.0,188.764,2.863,0.0,0.0,19.218,0.02,0.295,0.01
/sise/home/barasa/8_bit/experiments/April/inf_10_0.05_True/results.csv,mean,0.0,0.0,30.422,999.377,1481.7,0.0,0.851,32.358,1113.708,1552.976,0.0,0.851,2289.287,10.339,0.0,0.0,114.331,0.115,1.935,0.064
/sise/home/barasa/8_bit/experiments/April/inf_10_0.05_True/results.csv,std,0.0,0.0,0.208,13.397,13.179,0.0,0.0,0.165,12.795,16.876,0.0,0.0,152.922,2.173,0.0,0.0,15.8,0.017,0.268,0.009
