batch_id,img_dir,accuracy,topk,clean_CUDA_time,clean_CUDA_mem,clean_CPU_time,clean_CPU_mem,clean_outliers,clean_GFLOPs,adv_CUDA_time,adv_CUDA_mem,adv_CPU_time,adv_CPU_mem,adv_outliers,adv_GFLOPs
0,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000003.JPEG'],0,0,61.496,977.72509765625,124.142,3.814697265625e-06,250.0,0.850612992,60.654,1053.353515625,162.014,0.000255584716796875,466.0,0.850612992
1,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000004.JPEG'],0,0,60.032,991.9658203125,120.179,0.000255584716796875,162.0,0.850612992,63.836,1125.47509765625,186.719,0.000255584716796875,2296.0,0.850612992
2,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000014.JPEG'],0,0,60.678,978.0078125,122.528,0.000255584716796875,244.0,0.850612992,61.024,1041.20458984375,164.041,3.814697265625e-06,627.0,0.850612992
3,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000015.JPEG'],0,0,60.528,976.74169921875,121.956,3.814697265625e-06,196.0,0.850612992,60.159,1022.92822265625,176.341,0.000255584716796875,230.0,0.850612992
4,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000016.JPEG'],1,1,60.23,979.33349609375,122.544,3.814697265625e-06,267.0,0.850612992,60.262,1025.521484375,152.272,0.000255584716796875,307.0,0.850612992
5,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000018.JPEG'],0,0,60.078,998.98291015625,121.771,0.000255584716796875,246.0,0.850612992,64.219,1110.86376953125,188.817,0.000255584716796875,2938.0,0.850612992
6,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000019.JPEG'],1,1,61.138,977.19091796875,126.336,3.814697265625e-06,211.0,0.850612992,61.566,1030.85986328125,162.529,0.000255584716796875,401.0,0.850612992
7,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000021.JPEG'],0,0,60.618,1000.72021484375,124.559,0.000255584716796875,301.0,0.850612992,64.72,1110.3828125,192.32,0.000255584716796875,2909.0,0.850612992
8,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000026.JPEG'],1,1,60.666,979.7275390625,125.917,0.000255584716796875,250.0,0.850612992,60.756,1026.14599609375,167.148,0.000255584716796875,291.0,0.850612992
9,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000030.JPEG'],1,1,60.826,978.63916015625,126.212,0.000255584716796875,221.0,0.850612992,60.814,1031.06884765625,167.627,0.000255584716796875,456.0,0.850612992
10,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000033.JPEG'],1,1,61.228,981.123046875,128.006,0.000255584716796875,252.0,0.850612992,60.32,1024.486328125,160.531,3.814697265625e-06,235.0,0.850612992
11,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000034.JPEG'],0,1,61.018,981.58154296875,128.148,0.000255584716796875,295.0,0.850612992,61.11,1029.14306640625,183.493,0.000255584716796875,335.0,0.850612992
12,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000036.JPEG'],0,0,60.02,974.96044921875,127.249,0.000255584716796875,187.0,0.850612992,61.006,1044.857421875,163.716,0.000255584716796875,803.0,0.850612992
13,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000037.JPEG'],0,0,60.92,973.10546875,129.727,0.000255584716796875,238.0,0.850612992,64.452,1123.22265625,188.328,0.000255584716796875,2968.0,0.850612992
14,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000038.JPEG'],0,0,60.04,970.5048828125,127.025,3.814697265625e-06,193.0,0.850612992,64.878,1133.080078125,170.148,0.000255584716796875,2998.0,0.850612992
15,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000039.JPEG'],1,1,60.838,979.4560546875,130.66,0.000255584716796875,258.0,0.850612992,61.292,1033.3330078125,192.275,0.000255584716796875,503.0,0.850612992
16,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000047.JPEG'],0,0,61.256,980.78466796875,132.887,0.000255584716796875,226.0,0.850612992,64.754,1129.3427734375,174.28,0.000255584716796875,2921.0,0.850612992
17,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000048.JPEG'],0,0,60.536,979.2900390625,130.223,3.814697265625e-06,282.0,0.850612992,60.79,1044.13037109375,183.597,0.000255584716796875,892.0,0.850612992
18,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000055.JPEG'],0,0,61.06,979.923828125,132.448,0.000255584716796875,250.0,0.850612992,60.892,1034.66748046875,188.532,0.000255584716796875,574.0,0.850612992
19,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000056.JPEG'],0,0,60.568,986.63232421875,131.322,0.000255584716796875,296.0,0.850612992,63.119,1103.26171875,179.297,0.000255584716796875,1907.0,0.850612992
20,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000061.JPEG'],0,0,60.574,978.076171875,132.058,0.000255584716796875,267.0,0.850612992,61.208,1051.0791015625,179.052,0.000255584716796875,873.0,0.850612992
21,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000064.JPEG'],0,1,60.548,978.482421875,132.967,0.000255584716796875,226.0,0.850612992,60.076,1032.38427734375,166.735,3.814697265625e-06,529.0,0.850612992
22,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000065.JPEG'],1,1,61.092,983.84130859375,134.974,0.000255584716796875,331.0,0.850612992,60.704,1027.65380859375,173.839,0.000255584716796875,298.0,0.850612992
23,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000072.JPEG'],0,0,59.666,996.38525390625,132.552,0.000255584716796875,214.0,0.850612992,64.272,1110.9443359375,187.153,0.000255584716796875,2926.0,0.850612992
24,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000082.JPEG'],0,0,60.61,979.27734375,134.827,0.000255584716796875,262.0,0.850612992,61.368,1035.1298828125,176.987,0.000255584716796875,593.0,0.850612992
25,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000085.JPEG'],1,1,60.754,980.3359375,137.307,0.000255584716796875,262.0,0.850612992,60.608,1027.83935546875,173.352,0.000255584716796875,295.0,0.850612992
26,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000086.JPEG'],0,0,60.408,979.83837890625,137.83,0.000255584716796875,210.0,0.850612992,64.696,1134.17919921875,193.072,0.000255584716796875,2837.0,0.850612992
27,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000089.JPEG'],0,0,61.0,1014.52685546875,140.034,0.000255584716796875,246.0,0.850612992,62.052,1062.51025390625,176.925,3.814697265625e-06,1367.0,0.850612992
28,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000105.JPEG'],0,0,60.228,970.94091796875,138.619,0.000255584716796875,195.0,0.850612992,64.16,1095.82373046875,198.606,0.000255584716796875,2646.0,0.850612992
29,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000107.JPEG'],0,0,60.76,997.82275390625,142.388,0.000255584716796875,253.0,0.850612992,64.396,1111.14453125,194.463,0.000255584716796875,2855.0,0.850612992
30,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000108.JPEG'],1,1,60.788,977.7529296875,144.712,0.000255584716796875,181.0,0.850612992,59.936,1020.4873046875,185.076,0.000255584716796875,151.0,0.850612992
31,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000116.JPEG'],0,0,60.522,978.1123046875,144.283,0.000255584716796875,179.0,0.850612992,64.252,1110.84814453125,182.848,0.000255584716796875,2835.0,0.850612992
32,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000128.JPEG'],0,0,58.568,1014.865234375,146.479,0.000255584716796875,332.0,0.850612992,62.089,1118.2587890625,150.388,0.000255584716796875,2776.0,0.850612992
33,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000130.JPEG'],0,0,58.742,982.5751953125,147.701,0.000255584716796875,254.0,0.850612992,61.62,1127.4384765625,192.355,3.814697265625e-06,2950.0,0.850612992
34,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000131.JPEG'],0,0,60.618,983.49658203125,148.502,0.000255584716796875,275.0,0.850612992,64.538,1132.30712890625,195.278,0.000255584716796875,2859.0,0.850612992
35,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000132.JPEG'],0,0,60.262,999.9658203125,148.223,0.000255584716796875,268.0,0.850612992,64.388,1111.9052734375,203.261,3.814697265625e-06,2865.0,0.850612992
