batch_id,img_dir,accuracy,topk,clean_CUDA_time,clean_CUDA_mem,clean_CPU_time,clean_CPU_mem,clean_outliers,clean_GFLOPs,adv_CUDA_time,adv_CUDA_mem,adv_CPU_time,adv_CPU_mem,adv_outliers,adv_GFLOPs
0,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000003.JPEG'],1,1,52.24,983.2099609375,85.326,0.000255584716796875,250.0,0.850612992,51.778,1013.416015625,101.869,0.000255584716796875,292.0,0.850612992
1,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000004.JPEG'],0,0,50.49,987.51123046875,82.483,0.000255584716796875,162.0,0.850612992,53.95,1079.50830078125,91.829,3.814697265625e-06,2337.0,0.850612992
2,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000014.JPEG'],0,1,58.354,980.9931640625,84.783,3.814697265625e-06,244.0,0.850612992,58.438,1016.333984375,140.07,0.000255584716796875,463.0,0.850612992
3,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000015.JPEG'],0,0,60.552,979.25439453125,84.375,0.000255584716796875,194.0,0.850612992,60.262,1007.81103515625,138.304,0.000255584716796875,212.0,0.850612992
4,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000016.JPEG'],1,1,58.016,982.1318359375,83.536,0.000255584716796875,273.0,0.850612992,57.986,1010.6728515625,140.103,0.000255584716796875,298.0,0.850612992
5,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000018.JPEG'],0,0,51.092,970.3095703125,83.387,0.000255584716796875,246.0,0.850612992,54.576,1082.75927734375,89.003,3.814697265625e-06,2733.0,0.850612992
6,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000019.JPEG'],1,1,61.006,980.16455078125,86.176,0.000255584716796875,211.0,0.850612992,61.035,1010.8583984375,142.631,0.000255584716796875,258.0,0.850612992
7,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000021.JPEG'],0,0,51.506,985.81005859375,86.026,0.000255584716796875,298.0,0.850612992,54.824,1113.46630859375,99.282,0.000255584716796875,2866.0,0.850612992
8,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000026.JPEG'],1,1,51.438,982.21875,85.805,0.000255584716796875,251.0,0.850612992,51.18,1008.99072265625,89.943,0.000255584716796875,247.0,0.850612992
9,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000030.JPEG'],1,1,51.644,981.4921875,87.229,0.000255584716796875,220.0,0.850612992,51.398,1013.2177734375,95.696,0.000255584716796875,321.0,0.850612992
10,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000033.JPEG'],1,1,61.32,983.568359375,88.646,3.814697265625e-06,253.0,0.850612992,60.346,1010.0771484375,143.658,0.000255584716796875,234.0,0.850612992
