batch_id,img_dir,accuracy,topk,clean_CUDA_time,clean_CUDA_mem,clean_CPU_time,clean_CPU_mem,clean_outliers,clean_GFLOPs,adv_CUDA_time,adv_CUDA_mem,adv_CPU_time,adv_CPU_mem,adv_outliers,adv_GFLOPs
0,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000003.JPEG'],0,0,30.796,975.60107421875,853.226,3.814697265625e-06,250.0,0.850612992,32.417,1131.91259765625,911.874,0.000255584716796875,2930.0,0.850612992
1,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000004.JPEG'],0,0,30.005,981.4921875,848.632,0.000255584716796875,159.0,0.850612992,32.493,1123.68603515625,910.443,0.000255584716796875,2916.0,0.850612992
2,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000014.JPEG'],0,0,30.243,975.45556640625,850.215,0.000255584716796875,241.0,0.850612992,32.164,1120.9853515625,912.559,0.000255584716796875,2771.0,0.850612992
3,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000015.JPEG'],0,0,30.305,988.7578125,847.702,3.814697265625e-06,194.0,0.850612992,32.128,1121.259765625,907.684,3.814697265625e-06,2798.0,0.850612992
4,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000016.JPEG'],0,0,30.117,978.75341796875,847.413,0.000255584716796875,263.0,0.850612992,32.2,1131.25341796875,906.571,0.000255584716796875,2817.0,0.850612992
5,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000018.JPEG'],0,0,30.103,968.9130859375,849.752,0.000255584716796875,253.0,0.850612992,32.355,1084.431640625,912.227,3.814697265625e-06,2969.0,0.850612992
6,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000019.JPEG'],0,0,30.558,988.92236328125,852.694,0.000255584716796875,210.0,0.850612992,32.216,1122.36669921875,920.205,0.000255584716796875,2834.0,0.850612992
7,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000021.JPEG'],0,0,30.339,986.24560546875,851.611,0.000255584716796875,298.0,0.850612992,32.331,1123.5751953125,909.764,0.000255584716796875,2953.0,0.850612992
8,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000026.JPEG'],0,0,30.319,985.55419921875,853.455,3.814697265625e-06,241.0,0.850612992,32.32,1122.080078125,921.454,0.000255584716796875,2975.0,0.850612992
9,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000030.JPEG'],0,0,30.394,993.330078125,854.673,0.000255584716796875,227.0,0.850612992,32.163,1129.5390625,911.155,0.000255584716796875,2763.0,0.850612992
10,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000033.JPEG'],0,0,30.683,970.1865234375,854.73,0.000255584716796875,252.0,0.850612992,32.371,1115.80908203125,930.62,0.000255584716796875,2777.0,0.850612992
11,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000034.JPEG'],0,0,30.445,989.31494140625,856.871,3.814697265625e-06,274.0,0.850612992,32.449,1120.7919921875,918.475,0.000255584716796875,2899.0,0.850612992
12,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000036.JPEG'],0,0,30.024,981.525390625,853.822,0.000255584716796875,183.0,0.850612992,32.267,1123.03369140625,925.866,3.814697265625e-06,2960.0,0.850612992
13,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000037.JPEG'],0,0,30.451,992.5673828125,855.75,0.000255584716796875,234.0,0.850612992,32.2,1116.1494140625,933.986,0.000255584716796875,2963.0,0.850612992
