batch_id,img_dir,accuracy,topk,clean_CUDA_time,clean_CUDA_mem,clean_CPU_time,clean_CPU_mem,clean_outliers,clean_GFLOPs,adv_CUDA_time,adv_CUDA_mem,adv_CPU_time,adv_CPU_mem,adv_outliers,adv_GFLOPs
0,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000003.JPEG'],0,0,30.816,999.62109375,1149.762,0.000255584716796875,251.0,0.850612992,29.889,995.9794921875,1140.768,0.000255584716796875,122.0,0.850612992
1,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000004.JPEG'],0,0,30.2,975.68408203125,1025.852,0.000255584716796875,166.0,0.850612992,29.895,988.85205078125,1041.967,0.000255584716796875,160.0,0.850612992
2,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000014.JPEG'],0,0,30.53,979.5517578125,1038.015,0.000255584716796875,249.0,0.850612992,30.028,987.30322265625,1084.371,0.000255584716796875,128.0,0.850612992
3,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000015.JPEG'],0,0,30.361,976.39990234375,1002.188,0.000255584716796875,193.0,0.850612992,30.036,988.63818359375,1030.324,3.814697265625e-06,129.0,0.850612992
4,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000016.JPEG'],0,0,30.236,979.49365234375,1031.733,3.814697265625e-06,269.0,0.850612992,29.641,987.244140625,1036.666,3.814697265625e-06,139.0,0.850612992
5,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000018.JPEG'],0,0,30.347,980.2802734375,1062.326,0.000255584716796875,264.0,0.850612992,30.031,988.3291015625,1072.421,0.000255584716796875,139.0,0.850612992
6,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000019.JPEG'],0,0,30.618,977.572265625,1047.847,0.000255584716796875,210.0,0.850612992,30.024,988.24365234375,1040.14,0.000255584716796875,131.0,0.850612992
7,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000021.JPEG'],0,0,30.374,980.65380859375,1005.849,3.814697265625e-06,299.0,0.850612992,29.903,987.99169921875,1092.104,3.814697265625e-06,157.0,0.850612992
8,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000026.JPEG'],0,0,30.59,981.65087890625,1026.574,0.000255584716796875,296.0,0.850612992,29.925,988.7685546875,1063.08,0.000255584716796875,161.0,0.850612992
9,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000030.JPEG'],0,0,30.437,979.6708984375,1019.117,0.000255584716796875,229.0,0.850612992,30.116,988.4443359375,1055.77,3.814697265625e-06,129.0,0.850612992
10,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000033.JPEG'],0,0,30.701,980.82470703125,1026.378,0.000255584716796875,253.0,0.850612992,30.046,989.806640625,1096.004,0.000255584716796875,170.0,0.850612992
11,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000034.JPEG'],0,0,30.513,982.19677734375,1030.415,0.000255584716796875,294.0,0.850612992,30.294,987.46923828125,1057.804,3.814697265625e-06,115.0,0.850612992
12,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000036.JPEG'],0,0,30.085,977.7265625,1025.284,0.000255584716796875,193.0,0.850612992,30.055,987.08740234375,1038.155,0.000255584716796875,115.0,0.850612992
13,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000037.JPEG'],0,0,30.513,979.8095703125,1023.415,0.000255584716796875,241.0,0.850612992,30.067,990.44140625,1044.79,0.000255584716796875,188.0,0.850612992
14,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000038.JPEG'],0,0,30.349,978.056640625,1008.57,0.000255584716796875,221.0,0.850612992,29.855,984.830078125,1037.779,0.000255584716796875,118.0,0.850612992
15,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000039.JPEG'],0,0,30.44,979.50048828125,1094.287,0.000255584716796875,253.0,0.850612992,29.892,989.12939453125,1123.271,0.000255584716796875,163.0,0.850612992
16,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000047.JPEG'],0,0,30.693,979.54638671875,1027.777,0.000255584716796875,225.0,0.850612992,30.222,987.927734375,1064.249,0.000255584716796875,122.0,0.850612992
17,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000048.JPEG'],0,0,30.348,981.07421875,1036.197,0.000255584716796875,275.0,0.850612992,29.909,988.13330078125,1074.865,0.000255584716796875,140.0,0.850612992
18,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000055.JPEG'],0,0,30.558,980.9384765625,1008.808,0.000255584716796875,250.0,0.850612992,30.206,989.14697265625,1055.657,0.000255584716796875,132.0,0.850612992
19,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000056.JPEG'],0,0,30.398,982.03515625,1032.72,3.814697265625e-06,296.0,0.850612992,30.308,988.7587890625,1069.168,0.000255584716796875,131.0,0.850612992
20,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000061.JPEG'],0,0,30.344,980.73876953125,1009.021,0.000255584716796875,268.0,0.850612992,30.034,988.38720703125,1054.675,0.000255584716796875,135.0,0.850612992
21,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000064.JPEG'],0,0,30.334,979.56103515625,1025.665,3.814697265625e-06,229.0,0.850612992,30.029,989.015625,1063.928,0.000255584716796875,142.0,0.850612992
22,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000065.JPEG'],0,0,30.64,984.533203125,1015.574,0.000255584716796875,339.0,0.850612992,30.102,988.767578125,1051.67,3.814697265625e-06,144.0,0.850612992
23,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000072.JPEG'],0,0,29.981,978.052734375,1027.244,0.000255584716796875,234.0,0.850612992,30.24,987.615234375,1054.908,0.000255584716796875,115.0,0.850612992
24,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000082.JPEG'],0,0,30.286,980.755859375,1031.706,3.814697265625e-06,274.0,0.850612992,30.052,988.767578125,1029.705,0.000255584716796875,134.0,0.850612992
25,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000085.JPEG'],0,0,30.413,980.30029296875,1073.554,0.000255584716796875,260.0,0.850612992,30.052,987.982421875,1064.014,0.000255584716796875,131.0,0.850612992
26,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000086.JPEG'],0,0,30.221,977.814453125,1043.544,0.000255584716796875,214.0,0.850612992,29.919,988.49365234375,1093.17,0.000255584716796875,157.0,0.850612992
27,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000089.JPEG'],0,0,30.528,982.4208984375,1026.549,0.000255584716796875,252.0,0.850612992,30.176,988.0927734375,1061.517,0.000255584716796875,115.0,0.850612992
28,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000105.JPEG'],0,0,30.177,977.185546875,1011.028,0.000255584716796875,199.0,0.850612992,29.9,987.890625,1047.499,3.814697265625e-06,142.0,0.850612992
29,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000107.JPEG'],0,0,30.689,981.37939453125,1041.591,0.000255584716796875,287.0,0.850612992,30.166,991.28271484375,1077.269,0.000255584716796875,200.0,0.850612992
30,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000108.JPEG'],0,0,30.453,978.0576171875,1038.328,0.000255584716796875,192.0,0.850612992,29.914,988.7353515625,1060.982,0.000255584716796875,162.0,0.850612992
31,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000116.JPEG'],0,0,30.479,977.35595703125,1070.592,3.814697265625e-06,195.0,0.850612992,30.185,989.99853515625,1051.695,0.000255584716796875,164.0,0.850612992
32,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000128.JPEG'],0,0,30.565,983.3544921875,1095.354,0.000255584716796875,334.0,0.850612992,30.104,988.4384765625,1119.502,0.000255584716796875,129.0,0.850612992
33,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000130.JPEG'],0,0,30.6,980.87353515625,1036.308,0.000255584716796875,254.0,0.850612992,30.119,988.01904296875,1069.153,3.814697265625e-06,124.0,0.850612992
34,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000131.JPEG'],0,0,30.397,980.2529296875,1012.803,0.000255584716796875,264.0,0.850612992,29.879,987.4951171875,1050.573,0.000255584716796875,126.0,0.850612992
35,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000132.JPEG'],0,0,30.261,982.57958984375,1010.966,0.000255584716796875,285.0,0.850612992,30.293,990.337890625,1056.987,0.000255584716796875,162.0,0.850612992
36,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000138.JPEG'],0,0,30.164,976.357421875,1009.926,0.000255584716796875,191.0,0.850612992,30.162,988.11572265625,1056.538,0.000255584716796875,118.0,0.850612992
37,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000149.JPEG'],0,0,30.595,980.67236328125,1015.511,3.814697265625e-06,249.0,0.850612992,30.064,989.013671875,1054.198,0.000255584716796875,148.0,0.850612992
38,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000156.JPEG'],0,0,30.099,978.76513671875,1013.639,0.000255584716796875,232.0,0.850612992,30.108,987.5703125,1054.512,0.000255584716796875,131.0,0.850612992
39,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000159.JPEG'],0,0,30.393,978.998046875,1013.285,0.000255584716796875,224.0,0.850612992,30.155,987.53759765625,1058.922,0.000255584716796875,120.0,0.850612992
40,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000160.JPEG'],0,0,30.061,976.6083984375,1011.961,3.814697265625e-06,187.0,0.850612992,29.832,986.923828125,1063.512,0.000255584716796875,119.0,0.850612992
41,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000165.JPEG'],0,0,30.663,978.24658203125,1016.388,0.000255584716796875,202.0,0.850612992,30.307,989.4189453125,1049.305,3.814697265625e-06,161.0,0.850612992
42,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000168.JPEG'],0,0,30.185,981.03076171875,1013.523,0.000255584716796875,286.0,0.850612992,29.823,986.98291015625,1058.025,0.000255584716796875,116.0,0.850612992
43,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000170.JPEG'],0,0,30.326,979.14794921875,1013.669,3.814697265625e-06,251.0,0.850612992,30.055,988.94287109375,1052.876,0.000255584716796875,152.0,0.850612992
44,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000172.JPEG'],0,0,30.455,980.576171875,1018.706,0.000255584716796875,239.0,0.850612992,30.035,988.38037109375,1050.307,3.814697265625e-06,137.0,0.850612992
45,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000175.JPEG'],0,0,30.686,977.43798828125,1021.303,0.000255584716796875,175.0,0.850612992,29.884,988.4619140625,1056.573,0.000255584716796875,153.0,0.850612992
46,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000177.JPEG'],0,0,30.261,979.6328125,1016.681,0.000255584716796875,248.0,0.850612992,30.092,987.64892578125,1058.809,0.000255584716796875,124.0,0.850612992
47,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000179.JPEG'],0,0,30.55,982.91796875,1020.264,0.000255584716796875,287.0,0.850612992,30.029,987.98095703125,1055.732,3.814697265625e-06,129.0,0.850612992
48,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000181.JPEG'],0,0,30.587,976.3310546875,1018.095,0.000255584716796875,169.0,0.850612992,29.924,987.943359375,1052.614,3.814697265625e-06,141.0,0.850612992
49,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000184.JPEG'],0,0,30.718,981.39599609375,1022.298,0.000255584716796875,264.0,0.850612992,30.077,990.85693359375,1054.69,0.000255584716796875,190.0,0.850612992
50,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000186.JPEG'],0,0,30.548,980.595703125,1026.461,0.000255584716796875,252.0,0.850612992,30.067,989.50244140625,1062.852,0.000255584716796875,163.0,0.850612992
51,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000190.JPEG'],0,0,30.468,984.93603515625,1021.583,0.000255584716796875,319.0,0.850612992,30.309,988.2578125,1080.038,0.000255584716796875,130.0,0.850612992
52,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000196.JPEG'],0,0,30.488,976.49560546875,1022.189,0.000255584716796875,172.0,0.850612992,30.171,988.4931640625,1059.087,3.814697265625e-06,130.0,0.850612992
53,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000197.JPEG'],0,0,30.255,979.7509765625,1021.783,0.000255584716796875,237.0,0.850612992,29.909,987.560546875,1053.713,0.000255584716796875,135.0,0.850612992
54,['/dt/shabtaia/dt-fujitsu/datasets/active/imagenet_detection/images/test/ILSVRC2012_test_00000198.JPEG'],0,0,30.307,978.314453125,1022.066,0.000255584716796875,226.0,0.850612992,30.253,988.60888671875,1072.848,0.000255584716796875,127.0,0.850612992
