indx,max from layer column -> no changes,max from each layer -> only list1,max from each layer column -> only list2,1 max from all columns  ,10 max from all columns  ,"max from layer column -> split into 12 blocks -> apply weights -> 1,1,1,1,1,1,1,1,1,1,0,1","max from layer column -> split into 12 blocks -> apply weights -> 1,1,1,1,1,1,1,1,1,1,0,0","max from layer column -> split into 12 blocks -> apply weights -> 1,1,1,1,1,1,1,1,1,0,0,0","max from layer column -> split into 12 blocks -> apply weights -> 1,1,1,1,1,1,0,0,0,0,0,0","max from layer column -> split into 12 blocks -> apply weights -> 6,6,6,6,6,6,6,6,6,6,6,6","max from layer column -> split into 12 blocks -> apply weights -> 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5","max from layer column -> split into 12 blocks -> apply weights -> 1,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.05,0.01",max from layer column -> split into 12 blocks -> matmul_lists = b12+b11+b10+b9+b8+b7+b6+b5+b4+b3+b2+b1,"max from layer column -> list1_max = list1.topk(1, dim=2)[0]","max from layer column -> list1.topk(5, dim=2)[0][0]","max from layer column -> list1.topk(5, dim=2)[0]  list2.topk(5, dim=2)[0]",max from layer column -> list1.max(dim=2)[0][:5] list2.max(dim=2)[0],"max from layer column -> list1.max(dim=2)[0][:,:,:5] list2.max(dim=2)[0]","max from layer column -> list1.max(dim=2)[0][:,:,:2] list2.max(dim=2)[0]","max from layer column -> list1.max(dim=2)[0][:,:,:2] list2.max(dim=2)[0] many iteration","max from layer column -> list1.max(dim=2)[0] list2.max(dim=2)[0][:,:,:2] ","max from layer column -> list1.max(dim=2)[0][:,:,num:num+2] list2.max(dim=2)[0] ","max from layer column -> list1.max(dim=2)[0] list2_max = list2.max(dim=2)[0][:1,,] ",max from layer column -> list1.max(dim=2)[0][:1] list2_max = list2.max(dim=2)[0][:1] ,max from layer column -> list1.max(dim=2)[0] list2_max = list2.max(dim=2)[0][:1] -> many iterations ,max from layer column -> list1.max(dim=2)[0] list2_max = list2.max(dim=2)[0][:2]  ,max from layer column -> list1.max(dim=2)[0] list2_max = list2.max(dim=2)[0][1:2]  ,max from layer column -> list1.max(dim=2)[0][1:2] list2_max = list2.max(dim=2)[0][1:2]  ,max from layer column -> list1.max(dim=2)[0][0:5] list2_max = list2.max(dim=2)[0][0:1]  ,max from layer column -> list1.max(dim=2)[0] list2_max = list2.max(dim=2)[0][:3]  ,max from layer column -> list1.max(dim=2)[0][::5] list2_max = list2.max(dim=2)[0]  ,max from layer column -> list1.max(dim=2)[0][::5] NO list2_max   ,max from layer column -> list1.max(dim=2)[0] list2_max = list2.max(dim=2)[0][:4]  ,max from layer column -> list1.max(dim=2)[0] list2_max = list2.max(dim=2)[0][:4] diff loss  ,max from layer column -> list1.max(dim=2)[0] list2_max = list2.max(dim=2)[0][:5] diff loss  ,max from layer column -> list1.max(dim=2)[0] list2_max = list2.max(dim=2)[0][:6] diff loss  ,max from layer column -> list1.max(dim=2)[0] list2_max = list2.max(dim=2)[0][:10] diff loss  ,max from layer column -> list1.max(dim=2)[0] list2_max = list2.max(dim=2)[0][:10]   ,max from layer column -> list1.max(dim=2)[0] list2_max = list2.max(dim=2)[0][:9]   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130208333,0,0.260416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130208333,0,0.260416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130208333,0,0.260416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130208333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.651041667,0.260416667,0.260416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,0.032552083,0.032552083,0.065104167,0,0,0.130208333,0,0.29296875,0,0.032552083,0,0,0.032552083,0.032552083,0.065104167,0.032552083,0.032552083,0,0,0.032552083,0.065104167,0,0,0,0,0,0.032552083,0,0,0.032552083,0.065104167,0,0,0,0.032552083,0.032552083,0.065104167,0.065104167,0.032552083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.520833333,0.260416667,0.260416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.520833333,0.260416667,0.260416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.520833333,0.260416667,0.260416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.260416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.651041667,0.260416667,0.260416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,0.358072917,0.032552083,0.130208333,0.032552083,0,0.227864583,0.260416667,0.716145833,0,0.162760417,0.130208333,0.162760417,0.358072917,0.358072917,0.227864583,0.065104167,0.130208333,0.065104167,0.032552083,0.130208333,0.065104167,0.065104167,0.065104167,0,0.065104167,0.032552083,0.09765625,0,0.032552083,0.065104167,0.130208333,0,0.032552083,0.065104167,0.065104167,0.130208333,0.260416667,0.390625,0.423177083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.651041667,0.260416667,0.260416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.651041667,0.260416667,0.260416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.651041667,0.260416667,0.260416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.260416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,0.260416667,1.302083333,0.260416667,0.260416667,0.130208333,0.520833333,0.130208333,0.130208333,0.130208333,0.260416667,0.130208333,0.130208333,0.260416667,0.260416667,0.260416667,0.130208333,0.130208333,0.911458333,0.520833333,0.520833333,0.390625,0.651041667,0.260416667,0.260416667,0.260416667,0.520833333,0.260416667,0.260416667,0.260416667,0.260416667,0.390625,1.041666667,0.390625,0.390625,0.260416667,0.260416667,0.390625,0.260416667,0.130208333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,3.059895833,1.334635417,1.888020833,0.48828125,0.260416667,3.059895833,65.49479167,1.66015625,0.846354167,3.841145833,2.83203125,1.888020833,3.059895833,3.059895833,2.766927083,1.171875,1.953125,2.311197917,1.07421875,2.604166667,1.041666667,1.985677083,1.432291667,0.227864583,1.66015625,1.26953125,1.009114583,0.29296875,0.390625,1.46484375,2.083333333,0.423177083,1.46484375,1.529947917,1.3671875,1.66015625,53.74348958,49.609375,1.985677083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.651041667,0.260416667,0.260416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.651041667,0.260416667,0.260416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.651041667,0.260416667,0.260416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,0,0,0,0,0,0,1.302083333,0,0,0,0,0,0,0,0,0,0,0.390625,0.260416667,0.260416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5625,1.041666667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,18.88020833,55.078125,10.9375,20.83333333,9.375,21.484375,15.75520833,18.22916667,13.28125,25.52083333,17.31770833,19.140625,18.88020833,18.88020833,17.31770833,13.54166667,13.02083333,15.75520833,12.5,15.49479167,13.54166667,18.359375,27.34375,6.25,30.59895833,27.21354167,24.21875,8.203125,7.03125,30.859375,18.09895833,55.46875,32.8125,31.51041667,33.85416667,33.59375,22.13541667,26.69270833,36.71875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,88.34635417,7.584635417,87.890625,89.32291667,87.82552083,7.747395833,9.9609375,8.723958333,8.333333333,74.05598958,88.41145833,33.0078125,88.34635417,88.34635417,88.28125,88.8671875,87.82552083,16.76432292,9.114583333,86.19791667,8.10546875,83.43098958,9.147135417,4.00390625,8.7890625,8.49609375,9.212239583,4.654947917,4.622395833,9.895833333,88.24869792,3.80859375,9.27734375,8.69140625,8.7890625,9.049479167,12.66276042,11.97916667,11.328125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.651041667,0.260416667,0.260416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.651041667,0.260416667,0.260416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.651041667,0.260416667,0.260416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,2.083333333,7.8125,0,0,0,2.083333333,5.46875,1.171875,0.130208333,3.125,1.953125,0,2.083333333,2.083333333,1.302083333,1.692708333,0,1.171875,0.520833333,0.260416667,0.260416667,0.651041667,5.46875,0,5.729166667,3.645833333,3.385416667,0.260416667,0,6.119791667,0.520833333,0,5.598958333,7.161458333,3.515625,3.776041667,5.338541667,4.6875,6.901041667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,0.651041667,1.041666667,0.78125,0.390625,0.390625,0.78125,0.651041667,0.78125,0.78125,0.911458333,0.651041667,0.78125,0.651041667,0.651041667,0.520833333,0.78125,0.651041667,1.432291667,1.041666667,1.041666667,0.78125,0.78125,0.78125,0.390625,0.78125,0.78125,0.911458333,0.520833333,0.520833333,0.78125,0.651041667,0.78125,0.911458333,0.911458333,0.78125,0.651041667,1.041666667,0.911458333,0.78125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,2.63671875,0.618489583,2.734375,2.180989583,2.180989583,41.73177083,2.571614583,0.618489583,0.651041667,2.9296875,2.506510417,1.66015625,2.63671875,2.63671875,2.571614583,2.180989583,2.24609375,1.236979167,0.455729167,3.22265625,0.846354167,2.180989583,0.846354167,0.260416667,1.009114583,0.520833333,0.651041667,0.325520833,0.227864583,0.5859375,2.311197917,0.358072917,0.87890625,0.78125,0.618489583,0.618489583,2.604166667,2.604166667,0.68359375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
